"subjIndx","trial_RT","trial_blockType","trial_response","trial_limbside","trial_randSOA","trial_correct","trial_int","trial_actualIntensity","trial_crossed_legs","trial_crossed_hand",
32,0.76241,2,2,2,1.7629,1,2,0.26319,1,0,
32,0.46621,2,1,1,1.083,1,1,0.14669,1,0,
32,1.0291,2,2,2,1.6616,1,1,0.095237,1,0,
32,0.5471,2,2,1,1.3209,1,2,0.46105,1,1,
32,0.81405,2,2,2,1.5114,0,1,0.093071,1,1,
32,0.49127,2,1,2,1.0606,1,2,0.287,1,1,
32,0.35023,2,1,2,1.7257,1,2,0.28591,1,1,
32,0.3026,2,1,2,1.5566,1,2,0.27218,1,1,
32,0.2995,2,1,2,1.5294,1,1,0.095319,1,1,
32,0.34356,2,1,2,1.83,1,1,0.08645,1,1,
32,0.26985,2,1,2,1.8588,1,2,0.25744,1,1,
32,0.7129,2,2,1,1.789,1,1,0.14925,1,1,
32,0.38533,2,1,2,1.3178,1,1,0.0912,1,1,
32,0.36537,2,2,1,1.4522,1,2,0.45959,1,1,
32,0.55997,2,2,1,1.7522,1,1,0.15987,1,1,
32,0.44794,2,1,2,1.1099,1,2,0.27235,1,1,
32,0.46385,2,1,2,1.1097,1,2,0.26897,1,1,
32,0.39434,2,1,2,1.2699,1,2,0.27242,1,1,
32,0.86494,2,2,1,1.5246,1,1,0.15643,1,1,
32,0.9801,2,1,2,1.9727,1,2,0.25641,1,1,
32,0.41352,2,1,2,1.7104,1,2,0.28064,1,1,
32,0.63834,2,2,1,1.3119,1,2,0.43949,1,1,
32,0.3964,2,1,2,1.2915,1,1,0.090138,1,1,
32,0.53252,2,1,2,1.8504,1,2,0.2636,1,1,
32,0.63086,2,2,1,1.9116,1,1,0.15037,1,1,
32,0.60642,2,2,1,1.6393,1,1,0.15552,1,1,
32,0.65388,2,2,1,1.2554,1,2,0.44086,1,1,
32,0.61013,2,2,1,1.0887,1,2,0.44644,1,1,
32,0.89053,2,1,2,1.8383,1,2,0.26183,1,1,
32,0.78472,2,1,2,1.5847,1,1,0.087244,1,1,
32,0.7467,2,2,1,1.9481,1,1,0.14964,1,1,
32,1.1231,2,1,2,1.061,1,2,0.28322,1,1,
32,0.47376,2,1,2,1.5846,1,1,0.090062,1,1,
32,0.5579,2,1,2,1.2851,1,2,0.2681,1,1,
32,0.53697,2,1,2,1.8277,1,2,0.26126,1,1,
32,0.74964,2,2,1,1.191,1,1,0.16112,1,1,
32,1.0921,2,1,2,1.4425,1,2,0.26821,1,1,
32,0.56876,2,2,1,1.3934,1,1,0.15883,1,1,
32,0.63709,2,1,2,1.8266,1,1,0.091569,1,1,
32,0.54415,2,2,1,1.6769,1,1,0.1505,1,1,
32,0.6758,2,2,1,1.2076,1,2,0.47828,1,1,
32,0.52002,2,1,1,1.3181,0,2,0.47322,1,1,
32,0.85364,2,2,1,1.1338,1,2,0.45611,1,1,
32,0.72059,2,2,1,1.6715,1,2,0.47481,1,1,
32,0.58614,2,1,2,1.571,1,1,0.094603,1,1,
32,0.95764,2,2,2,1.1698,0,1,0.089629,1,1,
32,0.75255,2,2,1,1.1477,1,2,0.4493,1,1,
32,0.59013,2,1,1,1.4761,0,1,0.15436,1,1,
32,0.67995,2,1,2,1.9081,1,2,0.28393,1,1,
32,0.46321,2,1,2,1.5522,1,2,0.27747,1,1,
32,0.78709,2,2,1,1.0329,1,1,0.15051,1,1,
32,0.48624,2,2,1,1.0539,1,2,0.47051,1,1,
32,0.52,2,1,2,1.8051,1,1,0.095212,1,1,
32,0.72916,2,2,1,1.4514,1,1,0.15341,1,1,
32,0.62849,2,2,1,1.3826,1,1,0.15336,1,1,
32,0.5883,2,2,1,1.7896,1,2,0.4481,1,1,
32,0.48425,2,2,1,1.3643,1,2,0.4359,1,1,
32,0.48229,2,2,1,1.5323,1,1,0.14716,1,1,
32,0.6082,2,2,1,1.7117,1,1,0.14566,1,1,
32,0.57701,2,1,2,1.8715,1,2,0.26995,1,1,
32,0.73887,2,2,1,1.3287,1,1,0.14427,1,1,
32,0.45052,2,1,2,1.6501,1,2,0.28435,1,1,
32,0.99546,2,1,2,1.9748,1,1,0.091859,1,1,
32,0.67277,2,2,1,1.076,1,1,0.14414,1,1,
32,0.64481,2,2,1,1.587,1,2,0.43385,1,1,
32,0.72326,2,2,1,1.4139,1,2,0.44284,1,1,
32,0.57009,2,1,2,1.3091,1,1,0.089894,1,1,
32,0.51236,2,1,2,1.2638,1,1,0.086566,1,1,
32,0.60544,2,1,2,1.7588,1,2,0.25618,1,1,
32,0.60544,2,2,1,1.9952,1,2,0.47008,1,1,
32,NaN,2,0,1,1.1866,NaN,1,0.15011,1,1,
32,0.80745,2,2,1,1.7811,1,1,0.15766,1,1,
32,0.5423,2,1,2,1.1958,1,1,0.089705,1,1,
32,0.67273,2,2,1,1.9924,1,2,0.45462,1,1,
32,1.1486,2,1,2,1.8023,1,2,0.25737,1,1,
32,0.90156,2,2,1,1.4242,1,1,0.14494,1,1,
32,0.87961,2,2,1,1.7289,1,1,0.14563,1,1,
32,0.50479,2,1,2,1.4984,1,2,0.27404,1,1,
32,0.58707,2,1,2,1.809,1,1,0.087708,1,1,
32,0.78076,2,1,2,1.3565,1,1,0.093984,1,1,
32,0.5883,2,2,1,1.0732,1,2,0.47718,1,1,
32,0.45824,2,2,1,1.591,1,2,0.48306,1,1,
32,0.51287,2,1,2,1.9102,1,1,0.090246,1,1,
32,1.4107,2,2,1,1.1938,1,2,0.44344,1,1,
32,0.38315,2,1,2,1.4324,1,2,0.26267,1,1,
32,0.36786,2,1,2,1.7492,1,1,0.090745,1,1,
32,0.54453,2,2,1,1.0392,1,1,0.15733,1,1,
32,0.32262,2,1,2,1.9463,1,1,0.08879,1,1,
32,0.50084,2,1,2,1.7637,1,1,0.089959,1,1,
32,0.42962,2,1,2,1.5588,1,1,0.091823,1,1,
