"trial_RT","trial_blockType","trial_response","trial_limbside","trial_randSOA","trial_correct","trial_int","trial_actualIntensity","trial_crossed_legs","trial_crossed_hand","trial_handpos",
0.48107,1,1,1,1.6848,1,2,0.69789,0,1,2,
0.62772,1,1,1,1.0924,1,2,0.74822,0,1,2,
0.46388,1,2,2,1.8726,1,1,0.21906,0,1,2,
0.46791,1,2,2,1.9429,1,1,0.21058,0,1,2,
0.48618,1,2,2,1.0966,1,1,0.21249,0,1,2,
0.6222,1,1,1,1.8459,1,2,0.73273,0,1,2,
0.38649,1,1,1,1.9094,1,1,0.24159,0,1,2,
0.55229,1,1,1,1.0113,1,1,0.23416,0,1,2,
1.0827,1,1,1,1.5237,1,2,0.72973,0,1,2,
0.59218,1,1,1,1.6503,1,2,0.73764,0,1,2,
0.44786,1,1,1,1.3851,1,1,0.23386,0,1,2,
0.4199,1,1,1,1.6493,1,2,0.7123,0,1,2,
0.42541,1,1,1,1.7629,1,1,0.23607,0,1,2,
0.38993,1,1,1,1.5757,1,1,0.24774,0,1,2,
0.36185,1,1,1,1.6319,1,2,0.68996,0,1,2,
0.53755,1,1,1,1.2782,1,1,0.25121,0,1,2,
0.35139,1,2,2,1.8398,1,1,0.21393,0,1,2,
0.37208,1,2,2,1.4268,1,1,0.21916,0,1,2,
0.41927,1,2,2,1.6316,1,2,0.67935,0,1,2,
0.36959,1,1,1,1.8335,1,2,0.73435,0,1,2,
0.36227,1,1,1,1.2702,1,2,0.6911,0,1,2,
0.5134,1,2,2,1.4008,1,1,0.22419,0,1,2,
0.38655,1,2,2,1.5543,1,2,0.63003,0,1,2,
0.77546,1,2,1,1.5548,1,2,0.70447,1,0,2,
0.70698,1,1,2,1.8793,1,2,0.67933,1,0,2,
0.52939,1,2,1,1.5579,1,2,0.75974,1,0,2,
0.48945,1,1,2,1.7523,1,2,0.6641,1,0,2,
0.5725,1,1,2,1.8949,1,1,0.2263,1,0,2,
0.61392,1,1,2,1.8418,1,2,0.67499,1,0,2,
0.66036,1,1,2,1.1309,1,1,0.22302,1,0,2,
0.53267,1,1,2,1.1892,1,1,0.22337,1,0,2,
0.60048,1,1,2,1.1536,1,1,0.23053,1,0,2,
0.57683,1,1,2,1.0289,1,1,0.22006,1,0,2,
0.61531,1,1,2,1.0091,1,2,0.64988,1,0,2,
0.4143,1,1,2,1.5965,1,1,0.22352,1,0,2,
0.43897,1,1,2,1.609,1,2,0.65304,1,0,2,
0.51541,1,2,1,1.9189,1,2,0.68975,1,0,2,
0.67293,1,1,2,1.7336,1,1,0.21765,1,0,2,
0.40101,1,2,1,1.3011,1,1,0.24116,1,0,2,
0.43387,1,2,1,1.4956,1,1,0.23696,1,0,2,
0.52137,1,2,1,1.2582,1,1,0.23705,1,0,2,
0.53461,1,1,2,1.7329,1,1,0.22561,1,0,2,
1.2231,1,2,1,1.1168,1,1,0.24046,1,0,2,
0.53541,1,1,2,1.746,1,1,0.21893,1,0,2,
0.4419,1,2,1,1.8098,1,2,0.68625,1,0,2,
0.53218,1,2,1,1.7452,1,2,0.69918,1,0,2,
0.55619,1,1,2,1.3371,1,1,0.21786,1,0,2,
0.45192,1,2,1,1.5843,1,2,0.73105,1,0,2,
0.51481,1,1,2,1.469,1,2,0.67357,1,0,2,
0.43134,1,2,1,1.0873,1,2,0.76151,1,0,2,
0.3961,1,2,1,1.8287,1,1,0.25208,1,0,2,
0.45,1,2,1,1.6859,1,2,0.68653,1,0,2,
0.358,1,1,2,1.2673,1,1,0.23092,1,0,2,
0.45083,1,1,2,1.9695,1,2,0.63249,1,0,2,
0.4804,1,1,2,1.1838,1,1,0.23137,1,0,2,
0.60114,1,2,1,1.2999,1,2,0.72761,1,0,2,
0.49293,1,1,2,1.4112,1,2,0.63815,1,0,2,
0.50896,1,1,2,1.2365,1,2,0.62579,1,0,2,
0.66195,1,1,2,1.1951,1,2,0.64256,1,0,2,
0.69748,1,2,1,1.7054,1,1,0.24866,1,0,2,
0.4966,1,2,1,1.1805,1,2,0.6853,1,0,2,
0.41977,1,2,1,1.5223,1,1,0.23586,1,0,2,
0.4962,1,2,1,1.2962,1,2,0.68968,1,0,2,
0.41396,1,2,1,1.4628,1,2,0.69176,1,0,2,
0.43987,1,2,1,1.9252,1,1,0.22805,1,0,2,
0.45415,1,2,1,1.2159,1,1,0.24548,1,0,2,
0.45433,1,2,1,1.001,1,1,0.22869,1,0,2,
0.42299,1,1,2,1.9066,1,2,0.66643,1,0,2,
0.35543,1,1,2,1.68,1,2,0.63329,1,0,2,
0.36921,1,1,2,1.515,1,1,0.22303,1,0,2,
0.63674,1,2,1,1.5221,1,2,0.71942,1,0,2,
0.42592,1,2,1,1.1029,1,1,0.23397,1,0,2,
0.38559,1,1,2,1.9969,1,1,0.22768,1,0,2,
0.60697,1,2,1,1.359,1,1,0.2488,1,0,2,
0.46457,1,2,1,1.6252,1,2,0.75676,1,0,2,
0.7709,1,2,1,1.3934,1,1,0.22643,1,0,2,
0.42063,1,1,2,1.0077,1,2,0.66824,1,0,2,
0.37025,1,1,2,1.5453,1,2,0.62127,1,0,2,
0.37661,1,2,1,1.5091,1,2,0.68765,1,0,2,
0.40644,1,2,1,1.2468,1,1,0.22923,1,0,2,
0.69839,1,1,2,1.0454,1,1,0.21585,1,0,2,
0.29387,1,1,2,1.8417,1,2,0.63811,1,0,2,
0.66647,1,2,1,1.0482,1,1,0.23563,1,0,2,
0.74303,1,1,2,1.3242,1,1,0.21068,1,1,2,
0.56633,1,2,2,1.669,0,1,0.2083,1,1,2,
0.86178,1,2,1,1.2963,1,2,0.70637,1,1,2,
0.53364,1,2,1,1.93,1,2,0.74629,1,1,2,
0.44159,1,2,1,1.282,1,2,0.70945,1,1,2,
0.55614,1,2,1,1.1689,1,2,0.75976,1,1,2,
0.25081,1,1,1,1.7452,0,2,0.7283,1,1,2,
0.71331,1,2,1,1.4771,1,1,0.23542,1,1,2,
0.70076,1,1,2,1.6534,1,1,0.23024,1,1,2,
0.465,1,2,1,1.9666,1,2,0.7533,1,1,2,
0.44986,1,1,2,1.313,1,1,0.22821,1,1,2,
0.47255,1,1,2,1.0764,1,1,0.21312,1,1,2,
0.47495,1,1,2,1.7914,1,1,0.21383,1,1,2,
0.58677,1,2,1,1.3654,1,2,0.7431,1,1,2,
0.43833,1,1,2,1.5851,1,2,0.67295,1,1,2,
0.5514,1,2,1,1.1833,1,2,0.71891,1,1,2,
0.76304,1,2,1,1.0769,1,1,0.25311,1,1,2,
0.59791,1,1,2,1.1537,1,1,0.21857,1,1,2,
0.5714,1,2,1,1.8269,1,2,0.76172,1,1,2,
0.79233,1,1,2,1.301,1,1,0.21894,1,1,2,
0.76331,1,1,2,1.3839,1,2,0.65779,1,1,2,
0.70202,1,1,2,1.6507,1,1,0.22606,1,1,2,
0.1064,1,1,1,1.8174,0,2,0.71032,1,1,2,
0.86251,1,2,1,1.7663,1,2,0.71567,1,1,2,
0.37757,1,1,2,1.3742,1,1,0.2101,1,1,2,
0.82191,1,1,2,1.1899,1,1,0.2258,1,1,2,
0.51528,1,1,2,1.6465,1,2,0.66248,1,1,2,
0.54484,1,2,1,1.0036,1,2,0.73195,1,1,2,
0.6109,1,1,2,1.2829,1,2,0.68048,1,1,2,
0.77451,1,1,2,1.6386,1,2,0.6367,1,1,2,
0.4706,1,2,1,1.5921,1,1,0.24993,1,1,2,
0.42152,1,1,2,1.3253,1,2,0.68889,1,1,2,
0.80344,1,1,2,1.989,1,2,0.64197,1,1,2,
0.46655,1,1,2,1.1232,1,2,0.67485,1,1,2,
0.69225,1,1,2,1.7359,1,2,0.64548,1,1,2,
0.39817,1,1,2,1.1566,1,2,0.64054,1,1,2,
0.64672,1,2,1,1.4346,1,1,0.23091,1,1,2,
0.31628,1,1,2,1.8322,1,2,0.67006,1,1,2,
0.83837,1,2,1,1.3599,1,1,0.24083,1,1,2,
1.6184,1,1,2,1.0762,1,2,0.68292,1,1,2,
0.67981,1,2,1,1.5569,1,2,0.70051,1,1,2,
0.44035,1,1,2,1.2739,1,2,0.63346,1,1,2,
0.8268,1,1,2,1.1321,1,2,0.65234,1,1,2,
0.49266,1,2,1,1.6997,1,1,0.23917,1,1,2,
0.62959,1,2,1,1.4859,1,1,0.24785,1,1,2,
0.57624,1,2,1,1.1827,1,1,0.22986,1,1,2,
